Date,Headline,Link
2022-03-26,"A beekeeper, a builder and a homeless man: The civilian victims of Putin’s invasion",https://www.cnn.com/2022/03/26/europe/ukraine-victims-russia-invasion-intl-cmd/index.html
2022-03-26,Zelensky’s Ukraine is real. Putin’s doesn’t exist,https://www.cnn.com/2022/03/26/opinions/zelensky-ukraine-putin-nightmare-glaser/index.html
2022-03-26,These are some of the historical sites at risk in Kyiv,https://www.cnn.com/style/article/ukraine-historical-sites-kyiv-threatened/index.html
2022-03-26,What the second month of war in Ukraine may bring,https://www.cnn.com/2022/03/26/politics/russia-ukraine-war-one-month-what-matters/index.html
2022-03-26,"4 things to remember about Trump, Ukraine and Putin",https://www.cnn.com/2022/03/26/politics/trump-putin-ukraine/index.html
2022-03-26,"After crippling rounds of sanctions, these are the oligarchs who are (and aren’t) speaking out against Russia’s war",https://www.cnn.com/2022/03/25/world/russian-oligarch-statements/index.html
2022-03-25,"These fossil fuel companies sent more than $15B in taxes to Russia since it annexed Crimea, NGOs say",https://www.cnn.com/2022/03/25/business/russia-western-fossil-fuel-companies-taxes-climate-cmd-intl/index.html
2022-03-25,ESA plans to work more closely with NASA after Russia expulsion from Mars mission,https://www.cnn.com/2022/03/25/world/esa-russia-space-scn-ctw-intl/index.html
2022-03-25,J.K. Rowling hits back at Putin after he likened Russia to her in rant against cancel culture,https://www.cnn.com/2022/03/25/world/jk-rowling-putin-intl-scli-gbr/index.html
2022-03-25,"One month into war, Zelensky is done with niceties",https://www.cnn.com/2022/03/25/opinions/one-month-russia-ukraine-invasion-zelensky-bociurkiw/index.html
2022-03-25,Europe can’t live without Russian gas. Can this tiny Middle East country help?,https://www.cnn.com/2022/03/25/business/mideast-summary-03-25-2022-intl/index.html
2022-03-25,Here’s why Biden is going to Poland,https://www.cnn.com/2022/03/25/politics/poland-biden-trip-ukraine-war-analysis/index.html
2022-03-25,How sanctions on Russia are shaking up the superyacht world,https://www.cnn.com/travel/article/russian-sanctions-shaking-superyacht-industry/index.html
2022-03-25,US quietly planning potential responses in case Putin takes extreme step in Ukraine,https://www.cnn.com/2022/03/24/politics/us-planning-on-how-to-counter-putin/index.html
2022-03-24,4 Russian government operatives indicted for allegedly hacking global energy facilities between 2012 and 2018,https://www.cnn.com/2022/03/24/politics/alleged-russian-hackers-indicted/index.html
2022-03-24,Biden and Western leaders plan new ways to punish Russia for its war in Ukraine at emergency summits,https://www.cnn.com/2022/03/24/politics/nato-g7-european-union-summits-joe-biden-russia-ukraine/index.html
2022-03-24,Top Pentagon officials have not spoken to their Russian counterparts since invasion of Ukraine began,https://www.cnn.com/2022/03/24/politics/us-russia-defense-meetings/index.html
2022-03-24,Russia’s days as an energy superpower are coming to an end,https://www.cnn.com/2022/03/24/perspectives/global-energy-russia-europe/index.html
2022-03-24,Chechens are fighting in Ukraine. But are they more hype than help for Vladimir Putin?,https://www.cnn.com/2022/03/24/europe/russia-ukraine-chechen-fighting-analysis-intl-cmd/index.html
2022-03-24,"Gas rationing, food vouchers and hunger: Economic pain from Russia’s war is getting real",https://www.cnn.com/2022/03/24/economy/economy-russia-ukraine-war/index.html
2022-03-24,Russia’s stock market reopens after month-long closure,https://www.cnn.com/2022/03/24/investing/russia-stocks-market/index.html
2022-03-24,Russia is breaking market rules left and right,https://www.cnn.com/2022/03/24/investing/premarket-stocks-trading/index.html
